invoiceid,customerid,invoicedate,billingaddress,billingcity,billingstate,billingcountry,billingpostalcode,total,last_update
411,44,2022-12-14 00:00:00+00,Porthaninkatu 9,Helsinki,,Finland,00530,13.86,2023-01-04 12:05:40.982684+00
412,58,2022-12-22 00:00:00+00,"12,Community Centre",Delhi,,India,110017,1.99,2023-01-04 12:05:40.986504+00
413,59,2020-08-02 00:00:00+00,1913 Hanoi Way,Sasebo,,Japan,227AR-19,0.99,2023-01-04 12:05:40.988443+00
414,60,2021-01-09 00:00:00+00,1121 Loja Avenue,San Bernardino,,United States,185AT-33,1.98,2023-01-04 12:05:40.989579+00
415,61,2018-11-07 00:00:00+00,692 Joliet Street,Athenai,,Greece,198IN-31,3.96,2023-01-04 12:05:40.991013+00
416,62,2019-03-30 00:00:00+00,1566 Inegl Manor,Myingyan,,Myanmar,885AR-16,1.98,2023-01-04 12:05:40.992218+00
417,63,2020-07-09 00:00:00+00,53 Idfu Parkway,Nantou,,Taiwan,103LI-19,2.97,2023-01-04 12:05:40.993316+00
418,64,2020-11-30 00:00:00+00,1795 Santiago de Compostela Way,Laredo,,United States,1082EN-18,2.97,2023-01-04 12:05:40.994393+00
419,65,2022-08-08 00:00:00+00,900 Santiago de Compostela Parkway,Kragujevac,,Yugoslavia,1074AR-710,3.96,2023-01-04 12:05:40.995449+00
420,66,2022-10-26 00:00:00+00,478 Joliet Way,Hamilton,,New Zealand,796US-50,2.97,2023-01-04 12:05:40.996502+00
421,67,2022-05-31 00:00:00+00,613 Korolev Drive,Masqat,,Oman,676AR-85,3.96,2023-01-04 12:05:40.997531+00
422,68,2019-10-07 00:00:00+00,1531 Sal Drive,Esfahan,,Iran,184OR-68,4.95,2023-01-04 12:05:40.999208+00
423,69,2020-02-13 00:00:00+00,1542 Tarlac Parkway,Sagamihara,,Japan,139IS-54,4.95,2023-01-04 12:05:41.004779+00
424,70,2019-11-28 00:00:00+00,808 Bhopal Manor,Yamuna Nagar,,India,782AN-38,4.96,2023-01-04 12:05:41.007438+00
425,71,2022-04-06 00:00:00+00,270 Amroha Parkway,Osmaniye,,Turkey,441AR-88,4.95,2023-01-04 12:05:41.009483+00
426,72,2019-06-24 00:00:00+00,770 Bydgoszcz Avenue,Citrus Heights,,United States,583ET-107,2.97,2023-01-04 12:05:41.01102+00
427,73,2020-01-31 00:00:00+00,419 Iligan Lane,Bhopal,,India,358EL-22,0.99,2023-01-04 12:05:41.012152+00
428,74,2021-01-06 00:00:00+00,360 Toulouse Parkway,Southend-on-Sea,,United Kingdom,054AN-79,3.96,2023-01-04 12:05:41.013229+00
429,75,2021-12-22 00:00:00+00,270 Toulon Boulevard,Elista,,Russian Federation,739ON-07,0.99,2023-01-04 12:05:41.014137+00
430,76,2020-01-07 00:00:00+00,320 Brest Avenue,Kaduna,,Nigeria,824AR-14,1.98,2023-01-04 12:05:41.016278+00
431,77,2018-02-04 00:00:00+00,1417 Lancaster Avenue,Kimberley,,South Africa,352UT-95,3.96,2023-01-04 12:05:41.019011+00
432,78,2018-05-09 00:00:00+00,1688 Okara Way,Mardan,,Pakistan,251HA-39,1.98,2023-01-04 12:05:41.021248+00
433,79,2022-12-08 00:00:00+00,262 A Corua (La Corua) Parkway,Tangail,,Bangladesh,885IC-210,0.99,2023-01-04 12:05:41.023214+00
434,80,2018-01-24 00:00:00+00,28 Charlotte Amalie Street,Sal,,Morocco,391AU-51,0.99,2023-01-04 12:05:41.024896+00
435,81,2022-08-28 00:00:00+00,1780 Hino Boulevard,Liepaja,,Latvia,1104AR-91,0.99,2023-01-04 12:05:41.026097+00
436,82,2018-08-19 00:00:00+00,96 Tafuna Way,Crdoba,,Argentina,084IM-22,1.98,2023-01-04 12:05:41.0273+00
437,83,2018-05-15 00:00:00+00,934 San Felipe de Puerto Plata Street,Shikarpur,,Pakistan,635EB-75,2.97,2023-01-04 12:05:41.028853+00
438,84,2019-05-23 00:00:00+00,18 Duisburg Boulevard,Citt del Vaticano,,Holy See (Vatican City State),492ES-38,3.96,2023-01-04 12:05:41.030951+00
439,85,2021-11-06 00:00:00+00,217 Botshabelo Place,Davao,,Philippines,662HI-55,3.96,2023-01-04 12:05:41.034123+00
440,86,2018-09-03 00:00:00+00,1425 Shikarpur Manor,Munger (Monghyr),,India,840YN-110,1.98,2023-01-04 12:05:41.036901+00
441,87,2022-08-14 00:00:00+00,786 Aurora Avenue,Shimonoseki,,Japan,3610NG-710,3.97,2023-01-04 12:05:41.038429+00
442,88,2018-08-18 00:00:00+00,1668 Anpolis Street,Lungtan,,Taiwan,5710EL-43,3.96,2023-01-04 12:05:41.040321+00
443,89,2019-11-17 00:00:00+00,33 Gorontalo Way,Kamarhati,,India,173RE-510,1.98,2023-01-04 12:05:41.041635+00
444,90,2019-12-13 00:00:00+00,176 Mandaluyong Place,Jhansi,,India,959MY-35,1.98,2023-01-04 12:05:41.042757+00
445,91,2021-06-22 00:00:00+00,127 Purnea (Purnia) Manor,Alessandria,,Italy,991NN-98,2.97,2023-01-04 12:05:41.043794+00
446,92,2018-07-16 00:00:00+00,61 Tama Street,Kurashiki,,Japan,729EB-64,1.98,2023-01-04 12:05:41.044813+00
447,93,2020-12-23 00:00:00+00,391 Callao Drive,Toulouse,,France,511IR-41,1.98,2023-01-04 12:05:41.046002+00
448,94,2020-02-22 00:00:00+00,334 Munger (Monghyr) Lane,Arak,,Iran,285AT-48,3.96,2023-01-04 12:05:41.048297+00
449,95,2021-01-13 00:00:00+00,1440 Fukuyama Loop,Nanyang,,China,699AM-97,3.96,2023-01-04 12:05:41.049483+00
450,96,2020-01-01 00:00:00+00,269 Cam Ranh Parkway,Chisinau,,Moldova,611AR-24,5.94,2023-01-04 12:05:41.052896+00
451,97,2022-07-30 00:00:00+00,306 Antofagasta Place,Vila Velha,,Brazil,069EB-62,2.97,2023-01-04 12:05:41.05523+00
452,98,2022-10-17 00:00:00+00,671 Graz Street,Nador,,Morocco,337MA-71,3.97,2023-01-04 12:05:41.058023+00
453,99,2018-11-29 00:00:00+00,42 Brindisi Place,Yerevan,,Armenia,671TE-19,0.99,2023-01-04 12:05:41.060111+00
454,100,2020-07-16 00:00:00+00,1632 Bislig Avenue,Pak Kret,,Thailand,347AR-109,3.96,2023-01-04 12:05:41.061257+00
455,101,2022-12-13 00:00:00+00,1447 Imus Way,Faaa,,French Polynesia,569HR-89,4.95,2023-01-04 12:05:41.063518+00
456,102,2021-07-07 00:00:00+00,1998 Halifax Drive,Lipetsk,,Russian Federation,927AR-28,2.97,2023-01-04 12:05:41.064695+00
457,103,2018-06-08 00:00:00+00,1718 Valencia Street,Antofagasta,,Chile,413AN-83,6.93,2023-01-04 12:05:41.065769+00
458,104,2022-08-12 00:00:00+00,46 Pjatigorsk Lane,Moscow,,Russian Federation,568AT-37,3.97,2023-01-04 12:05:41.067656+00
459,105,2018-05-25 00:00:00+00,686 Garland Manor,Juazeiro do Norte,,Brazil,606RA-78,3.96,2023-01-04 12:05:41.069785+00
460,106,2021-02-28 00:00:00+00,909 Garland Manor,Niznekamsk,,Russian Federation,766NN-56,3.97,2023-01-04 12:05:41.073035+00
461,107,2020-07-29 00:00:00+00,725 Isesaki Place,Jedda,,Saudi Arabia,341OY-95,4.95,2023-01-04 12:05:41.074824+00
462,108,2019-06-14 00:00:00+00,115 Hidalgo Parkway,Omdurman,,Sudan,663IA-29,2.97,2023-01-04 12:05:41.076002+00
463,109,2021-06-06 00:00:00+00,1135 Izumisano Parkway,Fontana,,United States,925LI-51,5.95,2023-01-04 12:05:41.077112+00
464,110,2022-07-16 00:00:00+00,939 Probolinggo Loop,A Corua (La Corua),,Spain,858UL-23,3.96,2023-01-04 12:05:41.07956+00
465,111,2019-07-08 00:00:00+00,17 Kabul Boulevard,Nagareyama,,Japan,632EA-37,1.98,2023-01-04 12:05:41.080871+00
466,112,2019-10-03 00:00:00+00,1964 Allappuzha (Alleppey) Street,Iwakuni,,Japan,722ER-710,1.98,2023-01-04 12:05:41.082004+00
467,113,2018-09-29 00:00:00+00,1697 Kowloon and New Kowloon Loop,Balaiha,,Russian Federation,317OR-26,3.96,2023-01-04 12:05:41.083277+00
468,114,2021-01-24 00:00:00+00,1668 Saint Louis Place,Papeete,,French Polynesia,10110LO-66,1.98,2023-01-04 12:05:41.086779+00
469,115,2020-10-31 00:00:00+00,943 Tokat Street,Vaduz,,Liechtenstein,5110VE-13,1.98,2023-01-04 12:05:41.088672+00
470,116,2022-09-27 00:00:00+00,1114 Liepaja Street,Kuching,,Malaysia,253EA-17,6.93,2023-01-04 12:05:41.090043+00
471,117,2019-10-21 00:00:00+00,1213 Ranchi Parkway,Mysore,,India,748HE-66,4.96,2023-01-04 12:05:41.091157+00
472,118,2021-06-19 00:00:00+00,81 Hodeida Way,Jaipur,,India,796IL-33,2.97,2023-01-04 12:05:41.092316+00
473,119,2018-05-26 00:00:00+00,915 Ponce Place,Basel,,Switzerland,638AT-100,1.98,2023-01-04 12:05:41.09337+00
474,120,2019-08-19 00:00:00+00,1717 Guadalajara Lane,Saint Louis,,United States,925OA-21,1.98,2023-01-04 12:05:41.095956+00
475,121,2021-06-24 00:00:00+00,1214 Hanoi Way,Lincoln,,United States,970SH-103,5.94,2023-01-04 12:05:41.098153+00
476,122,2021-10-02 00:00:00+00,1966 Amroha Avenue,Daxian,,China,032UD-64,3.96,2023-01-04 12:05:41.100077+00
477,123,2019-08-31 00:00:00+00,698 Otsu Street,Cayenne,,French Guiana,933OS-19,3.96,2023-01-04 12:05:41.10184+00
478,124,2022-08-26 00:00:00+00,1150 Kimchon Manor,Malm,,Sweden,9910AN-810,4.95,2023-01-04 12:05:41.10358+00
479,125,2018-08-04 00:00:00+00,1586 Guaruj Place,Xiangtan,,China,962EL-09,4.95,2023-01-04 12:05:41.105103+00
480,126,2019-06-20 00:00:00+00,57 Arlington Manor,Shivapuri,,India,686IC-90,2.97,2023-01-04 12:05:41.106182+00
481,127,2019-12-04 00:00:00+00,1031 Daugavpils Parkway,Bchar,,Algeria,267UD-38,1.98,2023-01-04 12:05:41.107231+00
482,128,2022-01-12 00:00:00+00,1124 Buenaventura Drive,al-Hawiya,,Saudi Arabia,334HR-72,0.99,2023-01-04 12:05:41.108284+00
483,129,2018-09-18 00:00:00+00,492 Cam Ranh Street,Baybay,,Philippines,701AT-65,0.99,2023-01-04 12:05:41.109319+00
484,130,2018-02-22 00:00:00+00,89 Allappuzha (Alleppey) Manor,Taguig,,Philippines,1044HE-12,3.97,2023-01-04 12:05:41.11158+00
485,131,2020-10-10 00:00:00+00,1947 Poos de Caldas Boulevard,Chiayi,,Taiwan,577EV-26,1.98,2023-01-04 12:05:41.112779+00
486,132,2018-10-27 00:00:00+00,1206 Dos Quebradas Place,Rio Claro,,Brazil,119EN-59,3.96,2023-01-04 12:05:41.113886+00
487,133,2018-01-16 00:00:00+00,1551 Rampur Lane,Changhwa,,Taiwan,8107AM-14,3.96,2023-01-04 12:05:41.114964+00
488,134,2020-02-29 00:00:00+00,602 Paarl Street,Pavlodar,,Kazakstan,990RE-75,1.98,2023-01-04 12:05:41.115995+00
489,135,2020-02-17 00:00:00+00,1692 Ede Loop,Araatuba,,Brazil,939AN-95,3.97,2023-01-04 12:05:41.118068+00
490,136,2021-01-30 00:00:00+00,936 Salzburg Lane,Rae Bareli,,India,627OR-22,3.96,2023-01-04 12:05:41.120356+00
491,137,2021-03-11 00:00:00+00,586 Tete Way,Kamakura,,Japan,928AC-36,0.99,2023-01-04 12:05:41.121507+00
492,138,2022-11-01 00:00:00+00,1888 Kabul Drive,Ife,,Nigeria,189AR-17,1.98,2023-01-04 12:05:41.122675+00
493,139,2019-01-24 00:00:00+00,320 Baiyin Parkway,Mahajanga,,Madagascar,479ND-85,4.96,2023-01-04 12:05:41.12376+00
494,140,2018-08-29 00:00:00+00,927 Baha Blanca Parkway,Simferopol,,Ukraine,061AT-70,2.97,2023-01-04 12:05:41.124817+00
495,141,2019-05-05 00:00:00+00,929 Tallahassee Loop,Springs,,South Africa,3104OU-65,3.96,2023-01-04 12:05:41.127082+00
496,142,2021-02-15 00:00:00+00,125 Citt del Vaticano Boulevard,Atlixco,,Mexico,908AR-36,5.95,2023-01-04 12:05:41.128241+00
497,143,2020-03-09 00:00:00+00,1557 Ktahya Boulevard,Bradford,,United Kingdom,846NN-36,4.95,2023-01-04 12:05:41.129293+00
498,144,2020-08-11 00:00:00+00,870 Ashqelon Loop,Songkhla,,Thailand,402AC-69,0.99,2023-01-04 12:05:41.13034+00
499,145,2018-09-29 00:00:00+00,1740 Portoviejo Avenue,Sincelejo,,Colombia,733AN-89,3.97,2023-01-04 12:05:41.131397+00
500,146,2021-08-10 00:00:00+00,1942 Ciparay Parkway,Cheju,,South Korea,145ON-106,3.96,2023-01-04 12:05:41.132447+00
501,147,2021-06-11 00:00:00+00,1926 El Alto Avenue,La Plata,,Argentina,265UL-61,3.96,2023-01-04 12:05:41.134666+00
502,148,2018-06-19 00:00:00+00,1952 Chatsworth Drive,Meixian,,China,6910UB-510,3.96,2023-01-04 12:05:41.137802+00
503,149,2022-07-25 00:00:00+00,1370 Le Mans Avenue,Bandar Seri Begawan,,Brunei,450OI-48,2.98,2023-01-04 12:05:41.140775+00
504,150,2019-05-13 00:00:00+00,984 Effon-Alaiye Avenue,Goinia,,Brazil,553IN-17,4.95,2023-01-04 12:05:41.143889+00
505,151,2020-04-03 00:00:00+00,832 Nakhon Sawan Manor,Zalantun,,China,355HY-49,2.98,2023-01-04 12:05:41.145585+00
506,152,2020-06-22 00:00:00+00,152 Kitwe Parkway,Bislig,,Philippines,398OR-97,1.98,2023-01-04 12:05:41.147148+00
507,153,2019-08-15 00:00:00+00,1697 Tanauan Lane,Pathankot,,India,331AU-25,4.95,2023-01-04 12:05:41.148393+00
508,154,2022-02-28 00:00:00+00,1308 Arecibo Way,Augusta-Richmond County,,United States,2103IA-04,0.99,2023-01-04 12:05:41.149491+00
509,155,2020-09-08 00:00:00+00,1599 Plock Drive,Tete,,Mozambique,329NN-76,6.93,2023-01-04 12:05:41.151907+00
510,156,2019-02-23 00:00:00+00,669 Firozabad Loop,al-Ayn,,United Arab Emirates,814IL-89,2.97,2023-01-04 12:05:41.154419+00
511,157,2019-04-22 00:00:00+00,588 Vila Velha Manor,Kimchon,,South Korea,672MI-47,0.99,2023-01-04 12:05:41.1561+00
512,158,2021-02-16 00:00:00+00,1913 Kamakura Place,Jelets,,Russian Federation,655OB-26,2.98,2023-01-04 12:05:41.158698+00
513,159,2021-03-27 00:00:00+00,733 Mandaluyong Place,Abha,,Saudi Arabia,421EG-11,4.95,2023-01-04 12:05:41.16026+00
514,160,2019-10-12 00:00:00+00,659 Vaduz Drive,Ashdod,,Israel,528RY-24,0.99,2023-01-04 12:05:41.161406+00
515,161,2020-07-06 00:00:00+00,1177 Jelets Way,Ilorin,,Nigeria,263LA-92,4.95,2023-01-04 12:05:41.162516+00
516,162,2018-11-06 00:00:00+00,1386 Yangor Avenue,Toulon,,France,7110IT-25,1.98,2023-01-04 12:05:41.163574+00
517,163,2021-04-04 00:00:00+00,454 Nakhon Sawan Boulevard,Funafuti,,Tuvalu,628AW-40,3.96,2023-01-04 12:05:41.164646+00
518,164,2020-04-27 00:00:00+00,1867 San Juan Bautista Tuxtepec Avenue,Ivanovo,,Russian Federation,5610ON-25,1.98,2023-01-04 12:05:41.165746+00
519,165,2022-08-18 00:00:00+00,1532 Dzerzinsk Way,Merlo,,Argentina,524LO-74,2.97,2023-01-04 12:05:41.168262+00
520,166,2018-04-28 00:00:00+00,1002 Ahmadnagar Manor,Huixquilucan,,Mexico,491RA-85,5.95,2023-01-04 12:05:41.171135+00
521,167,2021-08-20 00:00:00+00,682 Junan Way,Klerksdorp,,South Africa,588DN-81,2.97,2023-01-04 12:05:41.172874+00
522,168,2022-04-09 00:00:00+00,804 Elista Drive,Enshi,,China,913IF-36,3.96,2023-01-04 12:05:41.174891+00
523,169,2019-06-29 00:00:00+00,1378 Alvorada Avenue,Caracas,,Venezuela,582AR-01,1.98,2023-01-04 12:05:41.176131+00
524,170,2022-01-29 00:00:00+00,793 Cam Ranh Avenue,Lancaster,,United States,861OS-91,2.97,2023-01-04 12:05:41.177224+00
525,171,2019-10-17 00:00:00+00,1079 Tel Aviv-Jaffa Boulevard,Cuman,,Venezuela,696IN-72,2.97,2023-01-04 12:05:41.178294+00
526,172,2021-11-25 00:00:00+00,442 Rae Bareli Place,Duisburg,,Germany,113RA-59,4.95,2023-01-04 12:05:41.179342+00
527,173,2019-07-15 00:00:00+00,1107 Nakhon Sawan Avenue,Nezahualcyotl,,Mexico,713EN-28,2.97,2023-01-04 12:05:41.180401+00
528,174,2021-01-07 00:00:00+00,544 Malm Parkway,Pemalang,,Indonesia,497IC-66,2.97,2023-01-04 12:05:41.181449+00
529,175,2021-12-20 00:00:00+00,1967 Sincelejo Place,Gandhinagar,,India,713DI-37,3.97,2023-01-04 12:05:41.185011+00
530,176,2021-02-27 00:00:00+00,333 Goinia Way,Grand Prairie,,United States,1091IM-07,2.97,2023-01-04 12:05:41.188413+00
531,177,2020-07-12 00:00:00+00,1987 Coacalco de Berriozbal Loop,Shubra al-Khayma,,Egypt,504HE-88,3.96,2023-01-04 12:05:41.191276+00
532,178,2021-02-27 00:00:00+00,241 Mosul Lane,Dos Quebradas,,Colombia,340YL-24,3.96,2023-01-04 12:05:41.19347+00
533,179,2022-01-18 00:00:00+00,211 Chiayi Drive,Etawah,,India,922OS-61,4.95,2023-01-04 12:05:41.19494+00
534,180,2022-04-29 00:00:00+00,1175 Tanauan Way,Lima,,Peru,959HE-19,3.96,2023-01-04 12:05:41.196401+00
535,181,2018-05-30 00:00:00+00,117 Boa Vista Way,Varanasi (Benares),,India,942HA-14,0.99,2023-01-04 12:05:41.19763+00
536,182,2019-06-24 00:00:00+00,848 Tafuna Manor,Ktahya,,Turkey,409HE-58,3.97,2023-01-04 12:05:41.198951+00
537,183,2021-07-02 00:00:00+00,569 Baicheng Lane,Boksburg,,South Africa,877TH-108,0.99,2023-01-04 12:05:41.200497+00
538,184,2020-05-29 00:00:00+00,1666 Qomsheh Drive,Po,,Brazil,315LL-74,2.97,2023-01-04 12:05:41.202402+00
539,185,2020-11-17 00:00:00+00,801 Hagonoy Drive,Smolensk,,Russian Federation,947LA-310,2.97,2023-01-04 12:05:41.204236+00
540,186,2020-12-16 00:00:00+00,1050 Garden Grove Avenue,Jastrzebie-Zdrj,,Poland,578AR-29,2.97,2023-01-04 12:05:41.206023+00
541,187,2021-12-04 00:00:00+00,1854 Tieli Street,Liaocheng,,China,233AR-85,3.97,2023-01-04 12:05:41.207819+00
542,188,2021-07-20 00:00:00+00,758 Junan Lane,guas Lindas de Gois,,Brazil,569HA-23,2.97,2023-01-04 12:05:41.208974+00
543,189,2018-12-04 00:00:00+00,1752 So Leopoldo Parkway,Mukateve,,Ukraine,165ON-58,3.96,2023-01-04 12:05:41.210039+00
544,190,2022-12-06 00:00:00+00,898 Belm Manor,Botshabelo,,South Africa,364ST-22,0.99,2023-01-04 12:05:41.211087+00
545,191,2019-04-02 00:00:00+00,261 Saint Louis Way,Torren,,Mexico,580AU-06,2.97,2023-01-04 12:05:41.21214+00
546,192,2018-08-26 00:00:00+00,765 Southampton Drive,Qalyub,,Egypt,263MM-110,6.93,2023-01-04 12:05:41.213203+00
547,193,2019-09-03 00:00:00+00,943 Johannesburg Avenue,Pune,,India,686UA-74,1.98,2023-01-04 12:05:41.214148+00
548,194,2021-06-14 00:00:00+00,788 Atinsk Street,Hubli-Dharwad,,India,9210NI-41,0.99,2023-01-04 12:05:41.215392+00
549,195,2022-11-14 00:00:00+00,1749 Daxian Place,Apeldoorn,,Netherlands,488HO-99,3.97,2023-01-04 12:05:41.216793+00
550,196,2019-12-08 00:00:00+00,1587 Sullana Lane,Hohhot,,China,488AZ-00,1.98,2023-01-04 12:05:41.218704+00
551,197,2018-04-22 00:00:00+00,1029 Dzerzinsk Manor,Touliu,,Taiwan,514MB-91,2.97,2023-01-04 12:05:41.219901+00
552,198,2021-03-31 00:00:00+00,1666 Beni-Mellal Place,Clarksville,,United States,0410VA-19,2.97,2023-01-04 12:05:41.222271+00
553,199,2021-11-19 00:00:00+00,928 Jaffna Loop,Fukuyama,,Japan,778EB-96,3.96,2023-01-04 12:05:41.223499+00
554,200,2018-06-06 00:00:00+00,483 Ljubertsy Parkway,Dundee,,United Kingdom,230PR-36,2.97,2023-01-04 12:05:41.224602+00
555,201,2019-03-04 00:00:00+00,374 Bat Yam Boulevard,Kilis,,Turkey,210ES-28,2.97,2023-01-04 12:05:41.225734+00
556,202,2022-11-10 00:00:00+00,1027 Songkhla Manor,Molodetno,,Belarus,1059LA-56,1.98,2023-01-04 12:05:41.226791+00
557,203,2020-09-13 00:00:00+00,999 Sanaa Loop,Soshanguve,,South Africa,142UC-89,1.98,2023-01-04 12:05:41.227866+00
558,204,2019-11-18 00:00:00+00,879 Newcastle Way,Sterling Heights,,United States,8210AM-410,4.95,2023-01-04 12:05:41.228936+00
559,205,2019-12-08 00:00:00+00,1337 Lincoln Parkway,Urawa,,Japan,423OA-22,2.97,2023-01-04 12:05:41.230318+00
560,206,2018-01-22 00:00:00+00,1952 Pune Lane,Saint-Denis,,Runion,617LE-88,4.95,2023-01-04 12:05:41.231453+00
561,207,2021-10-30 00:00:00+00,782 Mosul Street,Brockton,,United States,087AL-42,3.96,2023-01-04 12:05:41.232502+00
562,208,2021-05-18 00:00:00+00,781 Shimonoseki Drive,Hidalgo,,Mexico,344AN-65,2.97,2023-01-04 12:05:41.234018+00
563,209,2019-06-03 00:00:00+00,1560 Jelets Boulevard,Laiwu,,China,557EG-12,2.97,2023-01-04 12:05:41.235883+00
564,210,2018-12-04 00:00:00+00,1963 Moscow Place,Nagaon,,India,157LI-04,4.95,2023-01-04 12:05:41.237314+00
565,211,2020-12-19 00:00:00+00,456 Escobar Way,Jakarta,,Indonesia,725UZ-76,4.95,2023-01-04 12:05:41.238598+00
566,212,2019-08-08 00:00:00+00,798 Cianjur Avenue,Yuncheng,,China,0210IC-72,1.98,2023-01-04 12:05:41.239741+00
567,213,2022-12-21 00:00:00+00,185 Novi Sad Place,Bern,,Switzerland,989AI-89,6.93,2023-01-04 12:05:41.240824+00
568,214,2022-08-26 00:00:00+00,1367 Yantai Manor,Ondo,,Nigeria,934ER-07,1.98,2023-01-04 12:05:41.241883+00
569,215,2018-12-04 00:00:00+00,1386 Nakhon Sawan Boulevard,Pyongyang,,North Korea,964AR-40,2.98,2023-01-04 12:05:41.242977+00
570,216,2021-12-27 00:00:00+00,369 Papeete Way,Greensboro,,United States,703ER-59,3.96,2023-01-04 12:05:41.244012+00
571,217,2021-02-19 00:00:00+00,1440 Compton Place,Linz,,Austria,120IL-72,1.98,2023-01-04 12:05:41.245054+00
572,218,2021-05-24 00:00:00+00,1623 Baha Blanca Manor,Ljubertsy,,Russian Federation,494RI-50,3.96,2023-01-04 12:05:41.246481+00
573,219,2021-03-26 00:00:00+00,97 Shimoga Avenue,Tel Aviv-Jaffa,,Israel,863ER-19,3.96,2023-01-04 12:05:41.24774+00
574,220,2020-08-17 00:00:00+00,1740 Le Mans Loop,Le Mans,,France,4106AU-30,0.99,2023-01-04 12:05:41.248912+00
575,221,2020-08-31 00:00:00+00,1287 Xiangfan Boulevard,Kakamigahara,,Japan,326AT-88,6.93,2023-01-04 12:05:41.252116+00
576,222,2020-04-18 00:00:00+00,842 Salzburg Lane,Tarsus,,Turkey,3210OA-52,3.96,2023-01-04 12:05:41.254071+00
577,223,2022-07-01 00:00:00+00,154 Tallahassee Loop,Hami,,China,268OR-78,5.94,2023-01-04 12:05:41.255663+00
578,224,2022-01-15 00:00:00+00,710 San Felipe del Progreso Avenue,Lilongwe,,Malawi,868YN-31,5.94,2023-01-04 12:05:41.25717+00
579,225,2022-02-28 00:00:00+00,1540 Wroclaw Drive,Chandrapur,,India,565AL-104,2.97,2023-01-04 12:05:41.258594+00
580,226,2019-07-04 00:00:00+00,475 Atinsk Way,Jinchang,,China,981EG-91,3.96,2023-01-04 12:05:41.259713+00
581,227,2022-01-14 00:00:00+00,1294 Firozabad Drive,Pingxiang,,China,717RI-52,1.98,2023-01-04 12:05:41.26084+00
582,228,2022-09-20 00:00:00+00,1877 Ezhou Lane,Udaipur,,India,098EA-16,3.96,2023-01-04 12:05:41.262005+00
583,229,2018-07-12 00:00:00+00,316 Uruapan Street,Ipoh,,Malaysia,380OL-89,2.97,2023-01-04 12:05:41.26323+00
584,230,2021-12-29 00:00:00+00,29 Pyongyang Loop,Batman,,Turkey,893ER-40,1.98,2023-01-04 12:05:41.264325+00
585,231,2019-09-11 00:00:00+00,1010 Klerksdorp Way,Graz,,Austria,7107UD-28,3.96,2023-01-04 12:05:41.265667+00
586,232,2022-11-20 00:00:00+00,1848 Salala Boulevard,Ocumare del Tuy,,Venezuela,998VO-69,2.97,2023-01-04 12:05:41.268714+00
587,233,2021-03-23 00:00:00+00,431 Xiangtan Avenue,Allappuzha (Alleppey),,India,786NN-76,2.97,2023-01-04 12:05:41.270805+00
588,234,2022-07-21 00:00:00+00,757 Rustenburg Avenue,Skikda,,Algeria,038UN-86,4.95,2023-01-04 12:05:41.272004+00
589,235,2018-08-16 00:00:00+00,146 Johannesburg Way,Matamoros,,Mexico,521AM-46,1.98,2023-01-04 12:05:41.273126+00
590,236,2018-07-16 00:00:00+00,1891 Rizhao Boulevard,Santa Brbara dOeste,,Brazil,772AR-33,3.96,2023-01-04 12:05:41.274194+00
591,237,2022-03-18 00:00:00+00,1089 Iwatsuki Avenue,Kirovo-Tepetsk,,Russian Federation,569AN-108,5.94,2023-01-04 12:05:41.27523+00
592,238,2021-11-17 00:00:00+00,1410 Benin City Parkway,Pereira,,Colombia,331TA-04,6.93,2023-01-04 12:05:41.276334+00
593,239,2020-07-12 00:00:00+00,682 Garden Grove Place,Memphis,,United States,724NA-010,2.97,2023-01-04 12:05:41.277362+00
594,240,2018-06-25 00:00:00+00,533 al-Ayn Boulevard,Compton,,United States,031EN-88,2.97,2023-01-04 12:05:41.278393+00
595,241,2019-07-15 00:00:00+00,1839 Szkesfehrvr Parkway,Luzinia,,Brazil,478DA-85,3.96,2023-01-04 12:05:41.279413+00
596,242,2022-03-30 00:00:00+00,741 Ambattur Manor,s-Hertogenbosch,,Netherlands,394IV-35,2.97,2023-01-04 12:05:41.28043+00
597,243,2019-02-22 00:00:00+00,927 Barcelona Street,Shahr-e Kord,,Iran,153OB-41,3.96,2023-01-04 12:05:41.28291+00
598,244,2021-06-14 00:00:00+00,435 0 Way,Haldia,,India,629OL-54,4.95,2023-01-04 12:05:41.28596+00
599,245,2022-08-24 00:00:00+00,140 Chiayi Parkway,Sumy,,Ukraine,766RI-37,0.99,2023-01-04 12:05:41.288834+00
600,246,2019-08-18 00:00:00+00,1166 Changhwa Street,Bayugan,,Philippines,632EL-11,4.95,2023-01-04 12:05:41.290602+00
601,247,2021-06-17 00:00:00+00,891 Novi Sad Manor,Oshawa,,Canada,610OR-97,3.96,2023-01-04 12:05:41.291726+00
602,248,2021-01-31 00:00:00+00,605 Rio Claro Parkway,Tabora,,Tanzania,878OL-58,4.95,2023-01-04 12:05:41.292821+00
603,249,2018-11-11 00:00:00+00,1077 San Felipe de Puerto Plata Place,Novoterkassk,,Russian Federation,966EA-76,3.96,2023-01-04 12:05:41.294202+00
604,250,2019-03-10 00:00:00+00,9 San Miguel de Tucumn Manor,Firozabad,,India,694AU-69,2.97,2023-01-04 12:05:41.295376+00
605,251,2018-02-11 00:00:00+00,447 Surakarta Loop,Kisumu,,Kenya,393AT-83,5.94,2023-01-04 12:05:41.296703+00
